2022-02-25 15:20:26,874 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:20:26] "POST /getDirection HTTP/1.1" 200 -
2022-02-25 15:20:26,875 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:20:26] "POST /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:21:26,531 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:21:26] "OPTIONS /getDirection HTTP/1.1" 200 -
2022-02-25 15:21:26,782 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:21:26] "OPTIONS /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:21:26,841 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:21:26] "POST /getDirection HTTP/1.1" 200 -
2022-02-25 15:21:26,845 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:21:26] "POST /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:22:26,513 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:22:26] "OPTIONS /getDirection HTTP/1.1" 200 -
2022-02-25 15:22:26,762 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:22:26] "OPTIONS /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:22:26,821 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:22:26] "POST /getDirection HTTP/1.1" 200 -
2022-02-25 15:22:26,836 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:22:26] "POST /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:23:26,523 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:23:26] "OPTIONS /getDirection HTTP/1.1" 200 -
2022-02-25 15:23:26,781 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:23:26] "OPTIONS /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:23:26,837 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:23:26] "POST /getDirection HTTP/1.1" 200 -
2022-02-25 15:23:26,839 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:23:26] "POST /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:24:26,538 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:24:26] "OPTIONS /getDirection HTTP/1.1" 200 -
2022-02-25 15:24:26,792 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:24:26] "OPTIONS /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:24:26,854 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:24:26] "POST /getDirection HTTP/1.1" 200 -
2022-02-25 15:24:26,857 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:24:26] "POST /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:25:26,518 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:25:26] "OPTIONS /getDirection HTTP/1.1" 200 -
2022-02-25 15:25:26,775 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:25:26] "OPTIONS /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:25:26,835 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:25:26] "POST /getDirection HTTP/1.1" 200 -
2022-02-25 15:25:26,837 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:25:26] "POST /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:26:26,528 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:26:26] "OPTIONS /getDirection HTTP/1.1" 200 -
2022-02-25 15:26:26,792 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:26:26] "OPTIONS /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:26:26,834 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:26:26] "POST /getDirection HTTP/1.1" 200 -
2022-02-25 15:26:26,837 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:26:26] "POST /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:27:26,537 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:27:26] "OPTIONS /getDirection HTTP/1.1" 200 -
2022-02-25 15:27:26,855 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:27:26] "OPTIONS /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:27:26,857 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:27:26] "POST /getDirection HTTP/1.1" 200 -
2022-02-25 15:27:27,175 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:27:27] "POST /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:28:26,519 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:28:26] "OPTIONS /getDirection HTTP/1.1" 200 -
2022-02-25 15:28:26,784 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:28:26] "OPTIONS /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:28:26,830 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:28:26] "POST /getDirection HTTP/1.1" 200 -
2022-02-25 15:28:26,832 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:28:26] "POST /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:29:26,521 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:29:26] "OPTIONS /getDirection HTTP/1.1" 200 -
2022-02-25 15:29:26,788 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:29:26] "OPTIONS /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:29:26,834 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:29:26] "POST /getDirection HTTP/1.1" 200 -
2022-02-25 15:29:26,835 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:29:26] "POST /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:30:26,527 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:30:26] "OPTIONS /getDirection HTTP/1.1" 200 -
2022-02-25 15:30:26,779 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:30:26] "OPTIONS /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:30:26,838 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:30:26] "POST /getDirection HTTP/1.1" 200 -
2022-02-25 15:30:26,839 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:30:26] "POST /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:31:26,537 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:31:26] "OPTIONS /getDirection HTTP/1.1" 200 -
2022-02-25 15:31:26,782 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:31:26] "OPTIONS /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:31:26,855 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:31:26] "POST /getDirection HTTP/1.1" 200 -
2022-02-25 15:31:26,857 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:31:26] "POST /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:32:26,542 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:32:26] "OPTIONS /getDirection HTTP/1.1" 200 -
2022-02-25 15:32:26,797 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:32:26] "OPTIONS /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:32:26,858 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:32:26] "POST /getDirection HTTP/1.1" 200 -
2022-02-25 15:32:26,859 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:32:26] "POST /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:33:26,525 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:33:26] "OPTIONS /getDirection HTTP/1.1" 200 -
2022-02-25 15:33:26,782 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:33:26] "OPTIONS /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:33:26,839 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:33:26] "POST /getDirection HTTP/1.1" 200 -
2022-02-25 15:33:26,841 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:33:26] "POST /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:34:26,518 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:34:26] "OPTIONS /getDirection HTTP/1.1" 200 -
2022-02-25 15:34:26,784 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:34:26] "OPTIONS /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:34:26,831 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:34:26] "POST /getDirection HTTP/1.1" 200 -
2022-02-25 15:34:26,833 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:34:26] "POST /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:35:26,527 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:35:26] "OPTIONS /getDirection HTTP/1.1" 200 -
2022-02-25 15:35:26,795 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:35:26] "OPTIONS /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:35:26,837 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:35:26] "POST /getDirection HTTP/1.1" 200 -
2022-02-25 15:35:26,844 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:35:26] "POST /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:36:26,530 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:36:26] "OPTIONS /getDirection HTTP/1.1" 200 -
2022-02-25 15:36:26,786 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:36:26] "OPTIONS /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:36:26,844 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:36:26] "POST /getDirection HTTP/1.1" 200 -
2022-02-25 15:36:26,845 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:36:26] "POST /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:37:26,516 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:37:26] "OPTIONS /getDirection HTTP/1.1" 200 -
2022-02-25 15:37:26,789 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:37:26] "OPTIONS /getCoordinates HTTP/1.1" 200 -
2022-02-25 15:37:26,834 | _log | INFO | 127.0.0.1 - - [25/Feb/2022 15:37:26] "POST /getDirection HTTP/1.1" 200 -
